Property_ID,imp1,imp2,imp3,imp4,imp5,imp6,imp7,imp8,imp9,imp10
R360122,"1 Main Area 1997 2,680 N/A Details",2 Garage 1997 440 N/A Details,3 Open Porch 1997 30 N/A Details,4 Deck 1997 202 N/A Details,5 Fireplace 1997 1 N/A,-,-,-,-,-
R364125,"1 Main Area 1999 2,701 N/A Details",2 Garage 1999 420 N/A Details,3 Open Porch 1999 18 N/A Details,4 Patio 1999 245 N/A Details,5 Fireplace 1999 1,-,-,-,-,-
R378426,"1 Main Area 2000 1,150 N/A Details","2 Second Floor 2000 1,538 N/A Details",3 Garage 2000 366 N/A Details,4 Open Porch 2000 82 N/A Details,5 Fireplace 2000 1 N/A,-,-,-,-,-
R334406,"1 Main Area 1998 1,156 N/A Details","2 Second Floor 1998 1,496 N/A Details",3 Garage 1998 380 N/A Details,4 Open Porch 1998 28 N/A Details,5 Patio 1998 245 N/A,-,-,-,-,-
R334435,"1 Main Area 1997 1,145 N/A Details","2 Second Floor 1997 1,456 N/A Details",3 Garage 1997 366 N/A Details,4 Open Porch 1997 32 N/A Details,5 Patio 1997 100 N/A Details,6 Fireplace 1997 1 N/A Details,-,-,-,-
R334437,"1 Main Area 1995 1,181 N/A Details","2 Second Floor 1995 1,445 N/A Details",3 Garage 1995 420 N/A Details,4 Open Porch 1995 40 N/A Details,5 Patio 1995 28 N/A Details,6 Fireplace 1995 1 N/A Details,-,-,-,-
R335110,"1 Main Area 1995 2,598 N/A Details",2 Garage 1995 480 N/A Details,3 Open Porch 1995 40 N/A Details,4 Patio 1995 100 N/A Details,5 Fireplace 1995 1 N/A Details,-,-,-,-,-
R335118,"1 Main Area 1999 1,185 N/A Details","2 Second Floor 1999 1,607 N/A Details",3 Garage 1999 400 N/A Details,4 Open Porch 1999 20 N/A Details,5 Fireplace 1999 1 N/A,-,-,-,-,-
R335134,"1 Main Area 1996 2,652 N/A Details",2 Garage 1996 399 N/A Details,3 Open Porch 1996 135 N/A Details,4 Patio 1996 350 N/A Details,5 Fireplace 1996 1 N/A,-,-,-,-,-
R335153,"1 Main Area 1994 2,734 N/A Details",2 Garage 1994 420 N/A Details,3 Open Porch 1994 12 N/A Details,4 Patio 1994 392 N/A Details,5 Fireplace 1994 1 N/A Details,-,-,-,-,-
R335162,"1 Main Area 1994 2,798 N/A Details",2 Garage 1994 420 N/A Details,3 Open Porch 1994 30 N/A Details,4 Patio 1994 110 N/A Details,5 Fireplace 1994 1 N/A Details,-,-,-,-,-
R335170,"1 Main Area 1994 2,635 N/A Details",2 Garage 1994 420 N/A Details,3 Open Porch 1994 15 N/A Details,4 Patio 1994 172 N/A Details,5 Fireplace 1994 1 N/A Details,-,-,-,-,-
R335172,"1 Main Area 1994 2,610 N/A Details",2 Garage 1994 440 N/A Details,3 Open Porch 1994 30 N/A Details,4 Patio 1994 100 N/A Details,5 Fireplace 1994 1 N/A,-,-,-,-,-
R335176,"1 Main Area 1996 2,726 N/A Details",2 Garage 1996 420 N/A Details,3 Open Porch 1996 28 N/A Details,4 Patio 1996 74 N/A Details,5 Fireplace 1996 1 N/A Details,-,-,-,-,-
R335184,"1 Main Area 1996 2,670 N/A Details",2 Garage 1996 420 N/A Details,3 Open Porch 1996 38 N/A Details,4 Patio 1996 170 N/A Details,5 Fireplace 1996 1 N/A Details,-,-,-,-,-
R340320,"1 Main Area 1998 1,185 N/A Details","2 Second Floor 1998 1,603 N/A Details",3 Garage 1998 418 N/A Details,4 Open Porch 1998 30 N/A Details,5 Fireplace 1998 1 N/A Details,-,-,-,-,-
R340390,"1 Main Area 1998 1,120 N/A Details","2 Second Floor 1998 1,500 N/A Details",3 Garage 1998 420 N/A Details,4 Open Porch 1998 44 N/A Details,5 Patio 1998 100 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R340391,"1 Main Area 1995 2,660 N/A Details",2 Garage 1995 380 N/A Details,3 Open Porch 1995 38 N/A Details,4 Patio 1995 110 N/A Details,5 Fireplace 1995 1 N/A Details,-,-,-,-,-
R340415,"1 Main Area 1995 2,645 N/A Details",2 Garage 1995 400 N/A Details,3 Open Porch 1995 33 N/A Details,4 Patio 1995 110 N/A Details,5 Deck 1995 148 N/A Details,6 Fireplace 1995 1 N/A Details,-,-,-,-
R340430,"1 Main Area 1996 1,114 N/A Details","2 Second Floor 1996 1,510 N/A Details",3 Garage 1996 456 N/A Details,4 Open Porch 1996 164 N/A Details,5 Patio 1996 64 N/A Details,6 Fireplace 1996 1 N/A Details,-,-,-,-
R341268,"1 Main Area 1995 2,630 N/A Details",2 Garage 1995 420 N/A Details,3 Open Porch 1995 35 N/A Details,4 Patio 1995 100 N/A Details,5 Fireplace 1995 1 N/A Details,-,-,-,-,-
R341321,"1 Main Area 1998 1,636 N/A Details","2 Second Floor 1998 1,145 N/A Details",3 Garage 1998 693 N/A Details,4 Open Porch 1998 24 N/A Details,5 Patio 1998 100 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R341718,"1 Main Area 1996 1,732 N/A Details",2 Second Floor 1996 900 N/A Details,3 Garage 1996 420 N/A Details,4 Open Porch 1996 66 N/A Details,5 Patio 1996 100 N/A Details,6 Fireplace 1996 1 N/A Details,-,-,-,-
R341723,"1 Main Area 1997 1,796 N/A Details",2 Second Floor 1997 974 N/A Details,3 Garage 1997 420 N/A Details,4 Open Porch 1997 44 N/A Details,5 Fireplace 1997 1 N/A Details,6 Deck 1997 200 N/A Details,-,-,-,-
R341731,"1 Main Area 1997 1,796 N/A Details",2 Second Floor 1997 974 N/A Details,3 Garage 1997 420 N/A Details,4 Open Porch 1997 44 N/A Details,5 Patio 1997 100 N/A Details,6 Fireplace 1997 1 N/A Details,-,-,-,-
R341753,"1 Main Area 1995 2,745 N/A Details",2 Garage 1995 420 N/A Details,3 Open Porch 1995 42 N/A Details,4 Patio 1995 100 N/A Details,5 Fireplace 1995 1 N/A Details,-,-,-,-,-
R359759,"1 Main Area 1998 1,164 N/A Details","2 Second Floor 1998 1,492 N/A Details",3 Garage 1998 368 N/A Details,4 Open Porch 1998 158 N/A Details,5 Patio 1998 18 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R359760,"1 Main Area 1998 1,202 N/A Details","2 Second Floor 1998 1,570 N/A Details",3 Garage 1998 368 N/A Details,4 Open Porch 1998 24 N/A Details,5 Patio 1998 24 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R359778,"1 Main Area 1999 1,180 N/A Details","2 Second Floor 1999 1,551 N/A Details",3 Garage 1999 399 N/A Details,4 Open Porch 1999 20 N/A Details,5 Fireplace 1999 1 N/A Details,-,-,-,-,-
R359783,"1 Main Area 1997 2,739 N/A Details",2 Garage 1997 463 N/A Details,3 Open Porch 1997 100 N/A Details,4 Patio 1997 9 N/A Details,5 Patio 1997 180 N/A Details,6 Fireplace 1997 1 N/A Details,-,-,-,-
R359796,"1 Main Area 1998 1,152 N/A Details","2 Second Floor 1998 1,499 N/A Details",3 Garage 1998 387 N/A Details,4 Open Porch 1998 28 N/A Details,5 Patio 1998 24 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R359824,"1 Main Area 1999 1,097 N/A Details","2 Second Floor 1999 1,536 N/A Details",3 Garage 1999 399 N/A Details,4 Open Porch 1999 158 N/A Details,5 Patio 1999 100 N/A Details,6 Fireplace 1999 1 N/A Details,-,-,-,-
R359846,"1 Main Area 1996 1,708 N/A Details",2 Second Floor 1996 963 N/A Details,3 Garage 1996 420 N/A Details,4 Open Porch 1996 42 N/A Details,5 Patio 1996 100 N/A Details,6 Fireplace 1996 1 N/A Details,-,-,-,-
R359888,"1 Main Area 1998 1,376 N/A Details","2 Second Floor 1998 1,256 N/A Details",3 Garage 1998 400 N/A Details,4 Open Porch 1998 48 N/A Details,5 Patio 1998 100 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R360102,"1 Main Area 1999 1,802 N/A Details",2 Second Floor 1999 987 N/A Details,3 Garage 1999 441 N/A Details,4 Open Porch 1999 26 N/A Details,5 Patio 1999 214 N/A Details,6 Fireplace 1999 1 N/A Details,-,-,-,-
R360127,"1 Main Area 1996 2,619 N/A Details",2 Garage 1996 418 N/A Details,3 Open Porch 1996 35 N/A Details,4 Patio 1996 110 N/A Details,5 Fireplace 1996 1 N/A Details,-,-,-,-,-
R364085,"1 Main Area 1998 2,648 N/A Details",2 Garage 1998 440 N/A Details,3 Open Porch 1998 12 N/A Details,4 Patio 1998 388 N/A Details,5 Fireplace 1998 1 N/A Details,-,-,-,-,-
R364090,"1 Main Area 1998 1,180 N/A Details","2 Second Floor 1998 1,584 N/A Details",3 Garage 1998 400 N/A Details,4 Open Porch 1998 16 N/A Details,5 Patio 1998 300 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R364099,"1 Main Area 1998 1,181 N/A Details","2 Second Floor 1998 1,546 N/A Details",3 Garage 1998 399 N/A Details,4 Open Porch 1998 16 N/A Details,5 Patio 1998 254 N/A Details,6 Deck 1998 169 N/A Details,7 Fireplace 1998 1 N/A Details,-,-,-
R364120,"1 Main Area 1999 1,155 N/A Details","2 Second Floor 1999 1,607 N/A Details",3 Garage 1999 432 N/A Details,4 Open Porch 1999 16 N/A Details,5 Patio 1999 218 N/A Details,6 Fireplace 1999 1 N/A Details,-,-,-,-
R364122,"1 Main Area 1997 2,657 N/A Details",2 Garage 1997 420 N/A Details,3 Open Porch 1997 18 N/A Details,4 Fireplace 1997 1 N/A,-,-,-,-,-,-
R368157,"1 Main Area 1998 1,370 N/A Details","2 Second Floor 1998 1,354 N/A Details",3 Garage 1998 420 N/A Details,4 Open Porch 1998 60 N/A Details,5 Patio 1998 240 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R368161,"1 Main Area 1999 1,183 N/A Details","2 Second Floor 1999 1,600 N/A Details",3 Garage 1999 620 N/A Details,4 Open Porch 1999 21 N/A Details,5 Patio 1999 200 N/A Details,6 Fireplace 1999 1 N/A Details,-,-,-,-
R368165,"1 Main Area 1998 1,370 N/A Details","2 Second Floor 1998 1,354 N/A Details",3 Garage 1998 420 N/A Details,4 Open Porch 1998 60 N/A Details,5 Patio 1998 240 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R368178,"1 Main Area 1998 1,192 N/A Details","2 Second Floor 1998 1,606 N/A Details",3 Garage 1998 630 N/A Details,4 Open Porch 1998 18 N/A Details,5 Patio 1998 162 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R368194,"1 Main Area 1999 1,374 N/A Details","2 Second Floor 1999 1,362 N/A Details",3 Garage 1999 415 N/A Details,4 Open Porch 1999 72 N/A Details,5 Patio 1999 162 N/A Details,6 Fireplace 1999 1 N/A Details,-,-,-,-
R372795,"1 Main Area 1999 1,135 N/A Details","2 Second Floor 1999 1,534 N/A Details",3 Garage 1999 399 N/A Details,4 Open Porch 1999 112 N/A Details,5 Patio 1999 300 N/A Details,6 Fireplace 1999 1 N/A,-,-,-,-
R378417,"1 Main Area 1999 1,191 N/A Details","2 Second Floor 1999 1,585 N/A Details",3 Garage 1999 588 N/A Details,4 Open Porch 1999 24 N/A Details,5 Fireplace 1999 1 N/A Details,6 Patio 1999 24 N/A Details,-,-,-,-
R378424,"1 Main Area 2000 1,194 N/A Details","2 Second Floor 2000 1,593 N/A Details",3 Garage 2000 399 N/A Details,4 Open Porch 2000 16 N/A Details,5 Patio 2000 328 N/A Details,6 Fireplace 2000 1 N/A Details,-,-,-,-
R378439,"1 Main Area 1999 1,103 N/A Details","2 Second Floor 1999 1,514 N/A Details",3 Garage 1999 399 N/A Details,4 Open Porch 1999 92 N/A Details,5 Patio 1999 225 N/A Details,6 Fireplace 1999 1 N/A Details,-,-,-,-
R378458,"1 Main Area 2000 1,173 N/A Details","2 Second Floor 2000 1,572 N/A Details",3 Garage 2000 399 N/A Details,4 Open Porch 2000 24 N/A Details,5 Patio 2000 18 N/A Details,6 Fireplace 2000 1 N/A Details,-,-,-,-
R378460,"1 Main Area 2000 1,192 N/A Details","2 Second Floor 2000 1,591 N/A Details",3 Garage 2000 399 N/A Details,4 Open Porch 2000 24 N/A Details,5 Fireplace 2000 1 N/A Details,-,-,-,-,-
R383868,"1 Main Area 1999 1,254 N/A Details","2 Second Floor 1999 1,542 N/A Details",3 Garage 1999 395 N/A Details,4 Open Porch 1999 28 N/A Details,5 Patio 1999 254 N/A Details,6 Fireplace 1999 1 N/A,-,-,-,-
R383909,"1 Main Area 1999 1,632 N/A Details","2 Second Floor 1999 1,117 N/A Details",3 Garage 1999 441 N/A Details,4 Open Porch 1999 28 N/A Details,5 Patio 1999 100 N/A Details,6 Fireplace 1999 1 N/A Details,-,-,-,-
R391821,"1 Main Area 2000 1,093 N/A Details","2 Second Floor 2000 1,544 N/A Details",3 Garage 2000 399 N/A Details,4 Open Porch 2000 92 N/A,-,-,-,-,-,-
R391824,"1 Main Area 2000 1,188 N/A Details","2 Second Floor 2000 1,596 N/A Details",3 Garage 2000 384 N/A Details,4 Open Porch 2000 24 N/A Details,5 Patio 2000 140 N/A Details,-,-,-,-,-
R391826,"1 Main Area 2000 1,184 N/A Details","2 Second Floor 2000 1,572 N/A Details",3 Garage 2000 366 N/A Details,4 Open Porch 2000 77 N/A Details,5 Fireplace 2000 1 N/A Details,-,-,-,-,-
R391842,"1 Main Area 2000 1,190 N/A Details","2 Second Floor 2000 1,534 N/A Details",3 Garage 2000 399 N/A Details,4 Open Porch 2000 32 N/A Details,5 Patio 2000 150 N/A Details,-,-,-,-,-
R391855,"1 Main Area 2000 1,196 N/A Details","2 Second Floor 2000 1,580 N/A Details",3 Garage 2000 368 N/A Details,4 Open Porch 2000 24 N/A Details,5 Fireplace 2000 1 N/A Details,6 Patio 2016 205 N/A Details,-,-,-,-
R391880,"1 Main Area 2000 1,151 N/A Details","2 Second Floor 2000 1,495 N/A Details",3 Garage 2000 399 N/A Details,4 Open Porch 2000 158 N/A,-,-,-,-,-,-
R411184,"1 Main Area 2002 1,168 N/A Details","2 Second Floor 2002 1,563 N/A Details",3 Garage 2002 399 N/A Details,4 Open Porch 2002 44 N/A,-,-,-,-,-,-
R411160,"1 Main Area 2001 1,145 N/A Details","2 Second Floor 2001 1,536 N/A Details",3 Garage 2001 366 N/A Details,4 Open Porch 2001 158 N/A Details,5 Enclosed Porch 2016 557 N/A Details,6 Fireplace 2001 1 N/A Details,7 Out Bldg 2015 224 N/A Details,-,-,-
R330787,"1 Main Area 1993 1,137 N/A Details","2 Second Floor 1993 1,244 N/A Details",3 Garage 1993 405 N/A Details,4 Open Porch 1993 36 N/A Details,5 Balcony 2009 280 N/A Details,6 Patio 2009 266 N/A Details,7 Main Area 2009 280 N/A Details,8 Fireplace 1993 1 N/A Details,-,-
R330794,"1 Main Area 1993 1,179 N/A Details","2 Second Floor 1993 1,431 N/A Details",3 Garage 1993 399 N/A Details,4 Open Porch 1993 20 N/A Details,5 Fireplace 1993 1 N/A Details,6 Covered Patio 2015 344 N/A Details,-,-,-,-
R330833,"1 Main Area 1994 1,195 N/A Details","2 Second Floor 1994 1,463 N/A Details",3 Garage 1994 420 N/A Details,4 Open Porch 1994 20 N/A Details,5 Fireplace 1994 1 N/A Details,6 Deck - 416 N/A Details,7 Deck - 176 N/A Details,8 Out Bldg - 120 N/A Details,-,-
R330845,"1 Main Area 1993 1,408 N/A Details","2 Second Floor 1993 1,216 N/A Details",3 Garage 1993 420 N/A Details,4 Open Porch 1993 28 N/A Details,5 Patio 1993 64 N/A Details,6 Fence Wood 1993 - N/A Details,-,-,-,-
R334426,"1 Main Area 1998 1,170 N/A Details","2 Second Floor 1998 1,568 N/A Details",3 Garage 1998 380 N/A Details,4 Screen Porch 2010 214 N/A Details,5 Open Porch 1998 73 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R335099,"1 Main Area 1998 1,131 N/A Details","2 Second Floor 1998 1,495 N/A Details",3 Garage 1998 380 N/A Details,4 Open Porch 1998 16 N/A Details,5 Patio 1998 168 N/A Details,6 Concrete Pool 2007 497 N/A Details,7 Fireplace 1998 1 N/A Details,-,-,-
R335106,"1 Main Area 1996 1,814 N/A Details",2 Second Floor 1996 913 N/A Details,3 Garage 1996 441 N/A Details,4 Open Porch 1996 37 N/A Details,5 Covered Patio 1996 406 N/A Details,6 Fireplace 1996 1 N/A Details,-,-,-,-
R335138,"1 Main Area 1995 1,759 N/A Details",2 Second Floor 1995 861 N/A Details,3 Garage 1995 440 N/A Details,4 Open Porch 1995 37 N/A Details,5 Covered Patio 1995 166 N/A Details,6 Fireplace 1995 1 N/A Details,-,-,-,-
R335143,"1 Main Area 1994 2,551 N/A Details",2 Garage 1994 420 N/A Details,3 Open Porch 1994 36 N/A Details,4 Concrete Pool 2007 383 N/A Details,5 Fireplace 1994 1 N/A Details,6 Out Bldg 2008 192 N/A Details,7 Main Area 2021 110 N/A Details,8 Deck - 112 N/A Details,-,-
R335149,"1 Main Area 1994 2,616 N/A Details",2 Garage 1994 420 N/A Details,3 Open Porch 1994 15 N/A Details,4 Deck 1994 319 N/A Details,5 Out Bldg 1999 120 N/A Details,6 Fireplace 1994 1 N/A Details,-,-,-,-
R335150,"1 Main Area 1994 2,435 N/A Details",2 Main Area 1994 300 N/A Details,3 Garage 1994 420 N/A Details,4 Open Porch 1994 20 N/A Details,5 Covered Patio 1994 140 N/A Details,6 Deck 1994 140 N/A Details,7 Fireplace 1994 1 N/A Details,-,-,-
R335155,"1 Main Area 1994 2,628 N/A Details",2 Garage 1994 420 N/A Details,3 Open Porch 1994 18 N/A Details,4 Fireplace 1994 1 N/A Details,5 Covered Patio 2021 224 N/A Details,-,-,-,-,-
R340461,"1 Main Area 1996 1,190 N/A Details","2 Second Floor 1996 1,604 N/A Details",3 Garage 1996 712 N/A Details,4 Open Porch 1996 51 N/A Details,5 Enclosed Porch 2000 376 N/A Details,6 Patio 1996 110 N/A Details,7 Out Bldg 2013 64 N/A Details,8 NonCalcArea -56 N/A Details,9 Patio - 440 N/A Details,-
R341310,"1 Main Area 1995 1,684 N/A Details",2 Second Floor 1995 918 N/A Details,3 Garage 1995 462 N/A Details,4 Patio 1995 90 N/A Details,5 Open Porch 1995 60 N/A Details,6 Concrete Pool 2009 328 N/A Details,7 Out Bldg 2008 - N/A Details,8 Deck 2010 - N/A Details,9 Fireplace 1995 1 N/A Details,-
R341757,"1 Main Area 1995 1,676 N/A Details",2 Second Floor 1995 989 N/A Details,3 Garage 1995 441 N/A Details,4 Open Porch 1995 49 N/A Details,5 Patio 1995 90 N/A Details,6 Concrete Pool 2009 399 N/A Details,7 Fireplace 1995 1 N/A Details,-,-,-
R359808,"1 Main Area 1998 1,214 N/A Details","2 Second Floor 1998 1,577 N/A Details",3 Garage 1998 399 N/A Details,4 Open Porch 1998 12 N/A Details,5 Patio 1998 160 N/A Details,6 Out Bldg -81 N/A Details,7 Canopy - 45 N/A Details,-,-,-
R359825,"1 Main Area 1997 1,380 N/A Details","2 Second Floor 1997 1,354 N/A Details",3 Garage 1997 420 N/A Details,4 Open Porch 1997 44 N/A Details,5 Covered Patio 2002 186 N/A Details,6 Fireplace 1997 1 N/A Details,-,-,-,-
R359860,"1 Main Area 1996 1,669 N/A Details",2 Second Floor 1996 933 N/A Details,3 Garage 1996 441 N/A Details,4 Open Porch 1996 28 N/A Details,5 Patio 1996 100 N/A Details,6 Concrete Pool 2013 346 N/A Details,7 Fireplace 1996 1 N/A Details,-,-,-
R360106,"1 Main Area 1996 2,608 N/A Details",2 Garage 1996 420 N/A Details,3 Open Porch 1996 40 N/A Details,4 Patio 1996 110 N/A Details,5 Deck 1996 282 N/A Details,6 Concrete Pool 2007 472 N/A Details,7 Fireplace 1996 1 N/A Details,-,-,-
R372803,"1 Main Area 2000 1,186 N/A Details","2 Second Floor 2000 1,585 N/A Details",3 Garage 2000 399 N/A Details,4 Open Porch 2000 24 N/A Details,5 Fireplace 2000 1 N/A Details,6 Covered Patio 2019 264 N/A Details,-,-,-,-
R341326,"1 Main Area 1997 1,357 N/A Details","2 Second Floor 1997 1,357 N/A Details",3 Garage 1997 399 N/A Details,4 Open Porch 1997 107 N/A Details,5 Open Porch 1997 462 N/A Details,6 Fireplace 1997 1 N/A,-,-,-,-
R368168,"1 Main Area 1999 1,156 N/A Details","2 Second Floor 1999 1,547 N/A Details",3 Garage 1999 599 N/A Details,4 Open Porch 1999 16 N/A Details,5 Patio 1999 220 N/A Details,6 Open Porch - 468 N/A Details,7 Fireplace 1999 1 N/A Details,-,-,-
R378391,"1 Main Area 1999 1,170 N/A Details","2 Second Floor 1999 1,521 N/A Details",3 Garage 1999 399 N/A Details,4 Open Porch 1999 25 N/A Details,5 Open Porch 2008 320 N/A Details,6 Patio 2008 208 N/A Details,7 Fireplace 1999 1 N/A Details,-,-,-
R378394,"1 Main Area 1999 1,170 N/A Details","2 Second Floor 1999 1,546 N/A Details",3 Garage 1999 399 N/A Details,4 Open Porch 1999 25 N/A Details,5 Open Porch 2010 208 N/A Details,6 Deck 2010 223 N/A Details,7 Fireplace 1999 1 N/A Details,-,-,-
R335097,"1 Main Area 1996 1,228 N/A Details","2 Second Floor 1996 1,502 N/A Details",3 Garage 1996 651 N/A Details,4 Open Porch 1996 28 N/A Details,5 Open Porch 2011 268 N/A Details,6 Patio 1996 150 N/A Details,7 Patio 2011 70 N/A Details,8 Fireplace 1996 1 N/A Details,-,-
R335101,"1 Main Area 1994 1,219 N/A Details","2 Second Floor 1994 1,442 N/A Details",3 Garage 1994 594 N/A Details,4 Open Porch 1994 60 N/A Details,5 Open Porch 1994 25 N/A Details,6 Fireplace 1994 1 N/A Details,-,-,-,-
R335125,"1 Main Area 1995 2,655 N/A Details",2 Garage 1995 420 N/A Details,3 Open Porch 1995 22 N/A Details,4 Open Porch 1995 74 N/A Details,5 Fireplace 1995 1 N/A,-,-,-,-,-
R335163,"1 Main Area 1994 2,778 N/A Details",2 Garage 1994 420 N/A Details,3 Open Porch 1994 147 N/A Details,4 Open Porch 1994 98 N/A Details,5 Patio 1994 341 N/A Details,6 Fireplace 1994 1 N/A Details,-,-,-,-
R340416,"1 Main Area 1995 1,342 N/A Details","2 Second Floor 1995 1,380 N/A Details",3 Garage 1995 399 N/A Details,4 Open Porch 1995 31 N/A Details,5 Open Porch 1995 48 N/A Details,6 Patio 1995 48 N/A Details,7 Patio 1995 240 N/A Details,8 Fireplace 1995 1 N/A Details,-,-
R340435,"1 Main Area 1998 1,169 $164,838 Details","2 Second Floor 1998 1,509 $212,780 Details","3 Garage 1998 400 $28,201 Details","4 Open Porch 1998 167 $5,922 Details","5 Open Porch 1998 120 $4,230 Details","6 Fireplace 1998 1 $3,096 Details",-,-,-,-
R340462,"1 Main Area 1995 2,618 N/A Details",2 Garage 1995 420 N/A Details,3 Open Porch 1995 18 N/A Details,4 Open Porch 2008 320 N/A Details,5 Fireplace 1995 1 N/A Details,-,-,-,-,-
R341294,"1 Main Area 1997 1,638 N/A Details","2 Second Floor 1997 1,158 N/A Details",3 Garage 1997 696 N/A Details,4 Open Porch 1997 35 N/A Details,5 Open Porch 1997 120 N/A Details,6 Fireplace 1997 1 N/A,-,-,-,-
R359800,"1 Main Area 1999 1,127 N/A Details","2 Second Floor 1999 1,526 N/A Details",3 Garage 1999 399 N/A Details,4 Open Porch 1999 20 N/A Details,5 Open Porch 1999 48 N/A Details,6 Fireplace 1999 1 N/A Details,7 Deck 2007 256 N/A Details,8 Patio 2007 216 N/A Details,-,-
R360113,"1 Main Area 1996 1,384 N/A Details","2 Second Floor 1996 1,405 N/A Details",3 Garage 1996 418 N/A Details,4 Open Porch 1996 25 N/A Details,5 Open Porch 1996 60 N/A Details,6 Fireplace 1996 1 N/A Details,-,-,-,-
R360132,"1 Main Area 1998 1,225 N/A Details","2 Second Floor 1998 1,515 N/A Details",3 Garage 1998 578 N/A Details,4 Open Porch 1998 30 N/A Details,5 Open Porch 1998 60 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R364127,"1 Main Area 1999 1,160 N/A Details","2 Second Floor 1999 1,580 N/A Details",3 Garage 1999 420 N/A Details,4 Open Porch 1999 16 N/A Details,5 Open Porch 1999 130 N/A Details,6 Patio 1999 80 N/A Details,7 Deck 1999 130 N/A Details,8 Fireplace 1999 1 N/A Details,-,-
R368166,"1 Main Area 1999 1,186 N/A Details","2 Second Floor 1999 1,576 N/A Details",3 Garage 1999 606 N/A Details,4 Open Porch 1999 18 N/A Details,5 Open Porch 1999 220 N/A Details,6 Fireplace 1999 1 N/A Details,-,-,-,-
R378385,"1 Main Area 1999 1,151 N/A Details","2 Second Floor 1999 1,456 N/A Details",3 Garage 1999 360 N/A Details,4 Open Porch 1999 82 N/A Details,5 Open Porch 2016 252 N/A Details,6 Fireplace 1999 1 N/A,-,-,-,-
R378423,"1 Main Area 2000 1,179 N/A Details","2 Second Floor 2000 1,578 N/A Details",3 Garage 2000 399 N/A Details,4 Open Porch 2000 16 N/A Details,5 Open Porch 2000 194 N/A Details,-,-,-,-,-
R391828,"1 Main Area 2000 1,173 N/A Details","2 Second Floor 2000 1,596 N/A Details",3 Garage 2000 399 N/A Details,4 Open Porch 2000 24 N/A Details,5 Open Porch 2000 140 N/A Details,-,-,-,-,-
