Property_ID,imp1,imp2,imp3,imp4,imp5,imp6,imp7,imp8,imp9,imp10
R360122,"1 Main Area 1997 2,680 N/A Details",2 Garage 1997 440 N/A Details,3 Open Porch 1997 30 N/A Details,4 Deck 1997 202 N/A Details,5 Fireplace 1997 1 N/A,-,-,-,-,-
R364125,"1 Main Area 1999 2,701 N/A Details",2 Garage 1999 420 N/A Details,3 Open Porch 1999 18 N/A Details,4 Patio 1999 245 N/A Details,5 Fireplace 1999 1,-,-,-,-,-
R378426,"1 Main Area 2000 1,150 N/A Details","2 Second Floor 2000 1,538 N/A Details",3 Garage 2000 366 N/A Details,4 Open Porch 2000 82 N/A Details,5 Fireplace 2000 1 N/A,-,-,-,-,-
R334406,"1 Main Area 1998 1,156 N/A Details","2 Second Floor 1998 1,496 N/A Details",3 Garage 1998 380 N/A Details,4 Open Porch 1998 28 N/A Details,5 Patio 1998 245 N/A,-,-,-,-,-
R334435,"1 Main Area 1997 1,145 N/A Details","2 Second Floor 1997 1,456 N/A Details",3 Garage 1997 366 N/A Details,4 Open Porch 1997 32 N/A Details,5 Patio 1997 100 N/A Details,6 Fireplace 1997 1 N/A Details,-,-,-,-
R334437,"1 Main Area 1995 1,181 N/A Details","2 Second Floor 1995 1,445 N/A Details",3 Garage 1995 420 N/A Details,4 Open Porch 1995 40 N/A Details,5 Patio 1995 28 N/A Details,6 Fireplace 1995 1 N/A Details,-,-,-,-
R335110,"1 Main Area 1995 2,598 N/A Details",2 Garage 1995 480 N/A Details,3 Open Porch 1995 40 N/A Details,4 Patio 1995 100 N/A Details,5 Fireplace 1995 1 N/A Details,-,-,-,-,-
R335118,"1 Main Area 1999 1,185 N/A Details","2 Second Floor 1999 1,607 N/A Details",3 Garage 1999 400 N/A Details,4 Open Porch 1999 20 N/A Details,5 Fireplace 1999 1 N/A,-,-,-,-,-
R335134,"1 Main Area 1996 2,652 N/A Details",2 Garage 1996 399 N/A Details,3 Open Porch 1996 135 N/A Details,4 Patio 1996 350 N/A Details,5 Fireplace 1996 1 N/A,-,-,-,-,-
R335153,"1 Main Area 1994 2,734 N/A Details",2 Garage 1994 420 N/A Details,3 Open Porch 1994 12 N/A Details,4 Patio 1994 392 N/A Details,5 Fireplace 1994 1 N/A Details,-,-,-,-,-
R335162,"1 Main Area 1994 2,798 N/A Details",2 Garage 1994 420 N/A Details,3 Open Porch 1994 30 N/A Details,4 Patio 1994 110 N/A Details,5 Fireplace 1994 1 N/A Details,-,-,-,-,-
R335170,"1 Main Area 1994 2,635 N/A Details",2 Garage 1994 420 N/A Details,3 Open Porch 1994 15 N/A Details,4 Patio 1994 172 N/A Details,5 Fireplace 1994 1 N/A Details,-,-,-,-,-
R335172,"1 Main Area 1994 2,610 N/A Details",2 Garage 1994 440 N/A Details,3 Open Porch 1994 30 N/A Details,4 Patio 1994 100 N/A Details,5 Fireplace 1994 1 N/A,-,-,-,-,-
R335176,"1 Main Area 1996 2,726 N/A Details",2 Garage 1996 420 N/A Details,3 Open Porch 1996 28 N/A Details,4 Patio 1996 74 N/A Details,5 Fireplace 1996 1 N/A Details,-,-,-,-,-
R335184,"1 Main Area 1996 2,670 N/A Details",2 Garage 1996 420 N/A Details,3 Open Porch 1996 38 N/A Details,4 Patio 1996 170 N/A Details,5 Fireplace 1996 1 N/A Details,-,-,-,-,-
R340320,"1 Main Area 1998 1,185 N/A Details","2 Second Floor 1998 1,603 N/A Details",3 Garage 1998 418 N/A Details,4 Open Porch 1998 30 N/A Details,5 Fireplace 1998 1 N/A Details,-,-,-,-,-
R340390,"1 Main Area 1998 1,120 N/A Details","2 Second Floor 1998 1,500 N/A Details",3 Garage 1998 420 N/A Details,4 Open Porch 1998 44 N/A Details,5 Patio 1998 100 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R340391,"1 Main Area 1995 2,660 N/A Details",2 Garage 1995 380 N/A Details,3 Open Porch 1995 38 N/A Details,4 Patio 1995 110 N/A Details,5 Fireplace 1995 1 N/A Details,-,-,-,-,-
R340415,"1 Main Area 1995 2,645 N/A Details",2 Garage 1995 400 N/A Details,3 Open Porch 1995 33 N/A Details,4 Patio 1995 110 N/A Details,5 Deck 1995 148 N/A Details,6 Fireplace 1995 1 N/A Details,-,-,-,-
R340430,"1 Main Area 1996 1,114 N/A Details","2 Second Floor 1996 1,510 N/A Details",3 Garage 1996 456 N/A Details,4 Open Porch 1996 164 N/A Details,5 Patio 1996 64 N/A Details,6 Fireplace 1996 1 N/A Details,-,-,-,-
R341268,"1 Main Area 1995 2,630 N/A Details",2 Garage 1995 420 N/A Details,3 Open Porch 1995 35 N/A Details,4 Patio 1995 100 N/A Details,5 Fireplace 1995 1 N/A Details,-,-,-,-,-
R341321,"1 Main Area 1998 1,636 N/A Details","2 Second Floor 1998 1,145 N/A Details",3 Garage 1998 693 N/A Details,4 Open Porch 1998 24 N/A Details,5 Patio 1998 100 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R341718,"1 Main Area 1996 1,732 N/A Details",2 Second Floor 1996 900 N/A Details,3 Garage 1996 420 N/A Details,4 Open Porch 1996 66 N/A Details,5 Patio 1996 100 N/A Details,6 Fireplace 1996 1 N/A Details,-,-,-,-
R341723,"1 Main Area 1997 1,796 N/A Details",2 Second Floor 1997 974 N/A Details,3 Garage 1997 420 N/A Details,4 Open Porch 1997 44 N/A Details,5 Fireplace 1997 1 N/A Details,6 Deck 1997 200 N/A Details,-,-,-,-
R341731,"1 Main Area 1997 1,796 N/A Details",2 Second Floor 1997 974 N/A Details,3 Garage 1997 420 N/A Details,4 Open Porch 1997 44 N/A Details,5 Patio 1997 100 N/A Details,6 Fireplace 1997 1 N/A Details,-,-,-,-
R341753,"1 Main Area 1995 2,745 N/A Details",2 Garage 1995 420 N/A Details,3 Open Porch 1995 42 N/A Details,4 Patio 1995 100 N/A Details,5 Fireplace 1995 1 N/A Details,-,-,-,-,-
R359759,"1 Main Area 1998 1,164 N/A Details","2 Second Floor 1998 1,492 N/A Details",3 Garage 1998 368 N/A Details,4 Open Porch 1998 158 N/A Details,5 Patio 1998 18 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R359760,"1 Main Area 1998 1,202 N/A Details","2 Second Floor 1998 1,570 N/A Details",3 Garage 1998 368 N/A Details,4 Open Porch 1998 24 N/A Details,5 Patio 1998 24 N/A Details,6 Fireplace 1998 1 N/A Details,-,-,-,-
R359778,"1 Main Area 1999 1,180 N/A Details","2 Second Floor 1999 1,551 N/A Details",3 Garage 1999 399 N/A Details,4 Open Porch 1999 20 N/A Details,5 Fireplace 1999 1 N/A Details,-,-,-,-,-
R359783,"1 Main Area 1997 2,739 N/A Details",2 Garage 1997 463 N/A Details,3 Open Porch 1997 100 N/A Details,4 Patio 1997 9 N/A Details,5 Patio 1997 180 N/A Details,6 Fireplace 1997 1 N/A Details,-,-,-,-
