Property_ID,Address,Value_2023,Link,area
R304446,"1709 LION HEART DR, CEDAR PARK, TX  78613","$369,498",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304446,"1,736 Sq. Ft"
R304447,"1707 LION HEART DR, CEDAR PARK, TX  78613","$420,276",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304447,"2,012 Sq. Ft"
R304449,"1705 LION HEART DR, CEDAR PARK, TX  78613","$432,720",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304449,"2,030 Sq. Ft"
R304450,"1703 LION HEART DR, CEDAR PARK, TX  78613","$433,863",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304450,"1,952 Sq. Ft"
R304451,"1701 LION HEART DR, CEDAR PARK, TX  78613","$503,574",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304451,"2,727 Sq. Ft"
R304453,"1700 LION HEART DR, CEDAR PARK, TX  78613","$432,826",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304453,"2,038 Sq. Ft"
R304455,"1702 LION HEART DR, CEDAR PARK, TX  78613","$414,728",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304455,"1,835 Sq. Ft"
R304456,"1704 LION HEART DR, CEDAR PARK, TX  78613","$400,452",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304456,"1,876 Sq. Ft"
R304462,"1706 LION HEART DR, CEDAR PARK, TX  78613","$477,899",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304462,"2,264 Sq. Ft"
R304463,"1708 LION HEART DR, CEDAR PARK, TX  78613","$528,571",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304463,"2,970 Sq. Ft"
R304465,"1710 LION HEART DR, CEDAR PARK, TX  78613","$487,212",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304465,"1,898 Sq. Ft"
R304466,"1800 LION HEART DR, CEDAR PARK, TX  78613","$400,452",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304466,"1,876 Sq. Ft"
R304467,"1802 LION HEART DR, CEDAR PARK, TX  78613","$438,162",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304467,"2,160 Sq. Ft"
R304469,"1804 LION HEART DR, CEDAR PARK, TX  78613","$399,855",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304469,"1,876 Sq. Ft"
R304470,"1806 LION HEART DR, CEDAR PARK, TX  78613","$414,045",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304470,"1,995 Sq. Ft"
R304471,"1808 LION HEART DR, CEDAR PARK, TX  78613","$407,934",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304471,"2,006 Sq. Ft"
R304472,"1810 LION HEART DR, CEDAR PARK, TX  78613","$335,341",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304472,"1,379 Sq. Ft"
R304473,"1812 LION HEART DR, CEDAR PARK, TX  78613","$400,439",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304473,"1,891 Sq. Ft"
R304474,"1813 BLUE BELL DR, CEDAR PARK, TX  78613","$464,902",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304474,"2,317 Sq. Ft"
R304475,"1811 BLUE BELL DR, CEDAR PARK, TX  78613","$430,349",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304475,"2,184 Sq. Ft"
R304476,"1809 BLUE BELL DR, CEDAR PARK, TX  78613","$331,238",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304476,"1,289 Sq. Ft"
R304477,"1807 BLUE BELL DR, CEDAR PARK, TX  78613","$405,265",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304477,"1,970 Sq. Ft"
R304478,"1805 BLUE BELL DR, CEDAR PARK, TX  78613","$440,227",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304478,"2,215 Sq. Ft"
R304479,"1803 BLUE BELL DR, CEDAR PARK, TX  78613","$385,750",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304479,"1,811 Sq. Ft"
R304480,"1801 BLUE BELL DR, CEDAR PARK, TX  78613","$400,215",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304480,"1,956 Sq. Ft"
R304481,"1709 BLUE BELL DR, CEDAR PARK, TX  78613","$429,858",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304481,"2,087 Sq. Ft"
R304482,"1707 BLUE BELL DR, CEDAR PARK, TX  78613","$418,583",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304482,"1,712 Sq. Ft"
R304483,"1705 BLUE BELL DR, CEDAR PARK, TX  78613","$424,814",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304483,"1,905 Sq. Ft"
R304484,"1703 BLUE BELL DR, CEDAR PARK, TX  78613","$409,473",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304484,"1,994 Sq. Ft"
R304485,"1707 IRIS LN, CEDAR PARK, TX  78613","$366,894",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304485,"1,721 Sq. Ft"
R304486,"1701 BLUE BELL DR, CEDAR PARK, TX  78613","$456,778",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304486,"2,379 Sq. Ft"
R304488,"1710 BLUE BELL DR, CEDAR PARK, TX  78613","$399,597",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304488,"1,796 Sq. Ft"
R304490,"1708 BLUE BELL DR, CEDAR PARK, TX  78613","$452,488",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304490,"2,124 Sq. Ft"
R304491,"1706 BLUE BELL DR, CEDAR PARK, TX  78613","$365,262",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304491,"1,498 Sq. Ft"
R304493,"1704 BLUE BELL DR, CEDAR PARK, TX  78613","$392,533",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304493,"1,844 Sq. Ft"
R304496,"1702 BLUE BELL DR, CEDAR PARK, TX  78613","$473,973",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304496,"2,164 Sq. Ft"
R304497,"1700 BLUE BELL DR, CEDAR PARK, TX  78613","$526,413",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304497,"2,936 Sq. Ft"
R304499,"1805 IRIS LN, CEDAR PARK, TX  78613","$420,956",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304499,"2,060 Sq. Ft"
R304501,"1807 IRIS LN, CEDAR PARK, TX  78613","$536,267",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304501,"2,400 Sq. Ft"
R304502,"1809 IRIS LN, CEDAR PARK, TX  78613","$455,023",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304502,"1,898 Sq. Ft"
R304503,"1811 IRIS LN, CEDAR PARK, TX  78613","$417,315",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304503,"1,596 Sq. Ft"
R304505,"1813 IRIS LN, CEDAR PARK, TX  78613","$353,134",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304505,"1,416 Sq. Ft"
R304506,"1815 IRIS LN, CEDAR PARK, TX  78613","$466,826",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304506,"2,294 Sq. Ft"
R304507,"1817 IRIS LN, CEDAR PARK, TX  78613","$445,102",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304507,"2,292 Sq. Ft"
R304508,"2101 HEATHER DR, CEDAR PARK, TX  78613","$476,748",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304508,"2,496 Sq. Ft"
R304509,"2103 HEATHER DR, CEDAR PARK, TX  78613","$456,717",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304509,"1,974 Sq. Ft"
R304510,"2105 HEATHER DR, CEDAR PARK, TX  78613","$448,223",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304510,"2,298 Sq. Ft"
R304512,"2107 HEATHER DR, CEDAR PARK, TX  78613","$415,810",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304512,"2,058 Sq. Ft"
R304513,"2109 HEATHER DR, CEDAR PARK, TX  78613","$439,710",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304513,"2,048 Sq. Ft"
R304514,"1812 BLUE BELL DR, CEDAR PARK, TX  78613","$446,473",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304514,"1,956 Sq. Ft"
R304515,"1810 BLUE BELL DR, CEDAR PARK, TX  78613","$343,119",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304515,"1,458 Sq. Ft"
R304516,"1808 BLUE BELL DR, CEDAR PARK, TX  78613","$433,970",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304516,"1,760 Sq. Ft"
R304518,"1810 LILAC LN, CEDAR PARK, TX  78613","$481,214",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304518,"2,208 Sq. Ft"
R304519,"1807 LILAC LN, CEDAR PARK, TX  78613","$428,728",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304519,"1,988 Sq. Ft"
R304520,"1809 LILAC LN, CEDAR PARK, TX  78613","$556,724",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R304520,"2,310 Sq. Ft"
R310591,"2200 HEATHER DR, CEDAR PARK, TX  78613","$402,868",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R310591,"1,898 Sq. Ft"
R310592,"2202 HEATHER DR, CEDAR PARK, TX  78613","$347,450",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R310592,"1,522 Sq. Ft"
R310998,"2124 HEATHER DR, CEDAR PARK, TX  78613","$460,234",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R310998,"1,934 Sq. Ft"
R310999,"2122 HEATHER DR, CEDAR PARK, TX  78613","$397,599",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R310999,"1,522 Sq. Ft"
R311000,"2120 HEATHER DR, CEDAR PARK, TX  78613","$442,064",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311000,"2,164 Sq. Ft"
R311001,"2118 HEATHER DR, CEDAR PARK, TX  78613","$393,585",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311001,"1,562 Sq. Ft"
R311002,"2116 HEATHER DR, CEDAR PARK, TX  78613","$391,736",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311002,"1,876 Sq. Ft"
R311003,"2114 HEATHER DR, CEDAR PARK, TX  78613","$423,283",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311003,"2,164 Sq. Ft"
R311004,"2112 HEATHER DR, CEDAR PARK, TX  78613","$372,010",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311004,"1,738 Sq. Ft"
R311005,"2110 HEATHER DR, CEDAR PARK, TX  78613","$458,208",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311005,"2,400 Sq. Ft"
R311006,"2108 HEATHER DR, CEDAR PARK, TX  78613","$419,379",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311006,"1,522 Sq. Ft"
R311007,"2106 HEATHER DR, CEDAR PARK, TX  78613","$465,512",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311007,"2,306 Sq. Ft"
R311008,"2104 HEATHER DR, CEDAR PARK, TX  78613","$490,951",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311008,"2,622 Sq. Ft"
R311009,"2102 HEATHER DR, CEDAR PARK, TX  78613","$415,437",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311009,"2,032 Sq. Ft"
R311010,"2100 HEATHER DR, CEDAR PARK, TX  78613","$452,417",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311010,"1,940 Sq. Ft"
R311011,"2008 HEATHER DR, CEDAR PARK, TX  78613","$361,927",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311011,"1,540 Sq. Ft"
R311012,"2006 HEATHER DR, CEDAR PARK, TX  78613","$459,776",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311012,"2,352 Sq. Ft"
R311013,"2004 HEATHER DR, CEDAR PARK, TX  78613","$394,210",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311013,"1,920 Sq. Ft"
R311014,"2002 HEATHER DR, CEDAR PARK, TX  78613","$451,397",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311014,"2,295 Sq. Ft"
R311015,"2000 HEATHER DR, CEDAR PARK, TX  78613","$537,351",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R311015,"2,831 Sq. Ft"
R330784,"1608 EDELWEISS DR, CEDAR PARK, TX  78613","$607,110",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330784,"3,189 Sq. Ft"
R330785,"1512 IRIS LN, CEDAR PARK, TX  78613","$461,470",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330785,"2,269 Sq. Ft"
R330786,"1514 IRIS LN, CEDAR PARK, TX  78613","$460,153",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330786,"2,319 Sq. Ft"
R330787,"1600 IRIS LN, CEDAR PARK, TX  78613","$506,990",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330787,"2,661 Sq. Ft"
R330788,"1602 IRIS LN, CEDAR PARK, TX  78613","$421,405",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330788,"2,044 Sq. Ft"
R330789,"1605 EDELWEISS DR, CEDAR PARK, TX  78613","$609,845",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330789,"2,938 Sq. Ft"
R330790,"1607 EDELWEISS DR, CEDAR PARK, TX  78613","$550,457",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330790,"3,062 Sq. Ft"
R330791,"1609 EDELWEISS DR, CEDAR PARK, TX  78613","$397,668",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330791,"1,884 Sq. Ft"
R330792,"1701 EDELWEISS DR, CEDAR PARK, TX  78613","$583,488",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330792,"2,812 Sq. Ft"
R330793,"1703 EDELWEISS DR, CEDAR PARK, TX  78613","$527,680",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330793,"2,395 Sq. Ft"
R330794,"1705 EDELWEISS DR, CEDAR PARK, TX  78613","$530,616",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330794,"2,610 Sq. Ft"
R330795,"1707 EDELWEISS DR, CEDAR PARK, TX  78613","$547,683",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330795,"3,477 Sq. Ft"
R330796,"1709 EDELWEISS DR, CEDAR PARK, TX  78613","$448,746",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330796,"2,217 Sq. Ft"
R330797,"1801 EDELWEISS DR, CEDAR PARK, TX  78613","$489,618",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330797,"2,342 Sq. Ft"
R330798,"1803 EDELWEISS DR, CEDAR PARK, TX  78613","$409,923",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330798,"1,836 Sq. Ft"
R330799,"1805 EDELWEISS DR, CEDAR PARK, TX  78613","$459,891",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330799,"2,238 Sq. Ft"
R330800,"1807 EDELWEISS DR, CEDAR PARK, TX  78613","$408,830",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330800,"1,971 Sq. Ft"
R330803,"1809 EDELWEISS DR, CEDAR PARK, TX  78613","$437,455",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330803,"2,003 Sq. Ft"
R330804,"1811 EDELWEISS DR, CEDAR PARK, TX  78613","$523,270",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330804,"2,372 Sq. Ft"
R330805,"1700 EDELWEISS DR, CEDAR PARK, TX  78613","$608,313",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330805,"3,268 Sq. Ft"
R330806,"1702 EDELWEISS DR, CEDAR PARK, TX  78613","$572,715",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330806,"2,709 Sq. Ft"
R330807,"1704 EDELWEISS DR, CEDAR PARK, TX  78613","$560,585",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330807,"2,301 Sq. Ft"
R330808,"1706 EDELWEISS DR, CEDAR PARK, TX  78613","$480,335",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330808,"2,366 Sq. Ft"
R330809,"1708 EDELWEISS DR, CEDAR PARK, TX  78613","$418,111",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330809,"1,806 Sq. Ft"
R330810,"1710 EDELWEISS DR, CEDAR PARK, TX  78613","$511,136",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330810,"2,285 Sq. Ft"
R330811,"1800 EDELWEISS DR, CEDAR PARK, TX  78613","$587,648",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330811,"3,221 Sq. Ft"
R330812,"1802 EDELWEISS DR, CEDAR PARK, TX  78613","$397,684",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330812,"1,745 Sq. Ft"
R330813,"1804 EDELWEISS DR, CEDAR PARK, TX  78613","$416,758",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330813,"2,056 Sq. Ft"
R330814,"1806 EDELWEISS DR, CEDAR PARK, TX  78613","$502,075",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330814,"2,195 Sq. Ft"
R330815,"1808 EDELWEISS DR, CEDAR PARK, TX  78613","$420,520",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330815,"1,605 Sq. Ft"
R330816,"1810 EDELWEISS DR, CEDAR PARK, TX  78613","$615,588",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330816,"3,362 Sq. Ft"
R330818,"1811 CORAL DR, CEDAR PARK, TX  78613","$450,350",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330818,"2,189 Sq. Ft"
R330819,"1809 CORAL DR, CEDAR PARK, TX  78613","$415,752",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330819,"2,016 Sq. Ft"
R330820,"1807 CORAL DR, CEDAR PARK, TX  78613","$401,713",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330820,"1,758 Sq. Ft"
R330821,"1805 CORAL DR, CEDAR PARK, TX  78613","$526,514",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330821,"2,493 Sq. Ft"
R330822,"1803 CORAL DR, CEDAR PARK, TX  78613","$422,721",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330822,"2,094 Sq. Ft"
R330823,"1801 CORAL DR, CEDAR PARK, TX  78613","$395,029",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330823,"1,707 Sq. Ft"
R330824,"1711 CORAL DR, CEDAR PARK, TX  78613","$430,463",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330824,"2,042 Sq. Ft"
R330825,"1709 CORAL DR, CEDAR PARK, TX  78613","$542,043",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330825,"2,573 Sq. Ft"
R330826,"1707 CORAL DR, CEDAR PARK, TX  78613","$459,438",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330826,"2,309 Sq. Ft"
R330827,"1705 CORAL DR, CEDAR PARK, TX  78613","$425,361",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330827,"1,714 Sq. Ft"
R330828,"1703 CORAL DR, CEDAR PARK, TX  78613","$531,367",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330828,"2,413 Sq. Ft"
R330829,"1701 CORAL DR, CEDAR PARK, TX  78613","$416,134",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330829,"2,044 Sq. Ft"
R330830,"1700 CORAL DR, CEDAR PARK, TX  78613","$486,324",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330830,"2,175 Sq. Ft"
R330831,"1702 CORAL DR, CEDAR PARK, TX  78613","$424,226",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330831,"2,128 Sq. Ft"
R330832,"1704 CORAL DR, CEDAR PARK, TX  78613","$413,820",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330832,"2,023 Sq. Ft"
R330833,"1706 CORAL DR, CEDAR PARK, TX  78613","$510,457",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330833,"2,658 Sq. Ft"
R330834,"1708 CORAL DR, CEDAR PARK, TX  78613","$474,601",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330834,"2,474 Sq. Ft"
R330835,"1710 CORAL DR, CEDAR PARK, TX  78613","$474,570",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330835,"2,359 Sq. Ft"
R330836,"1800 CORAL DR, CEDAR PARK, TX  78613","$478,709",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330836,"2,405 Sq. Ft"
R330837,"1802 CORAL DR, CEDAR PARK, TX  78613","$504,983",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330837,"2,383 Sq. Ft"
R330838,"1804 CORAL DR, CEDAR PARK, TX  78613","$415,302",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330838,"2,035 Sq. Ft"
R330839,"1806 CORAL DR, CEDAR PARK, TX  78613","$463,677",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330839,"2,193 Sq. Ft"
R330840,"1808 CORAL DR, CEDAR PARK, TX  78613","$438,852",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330840,"2,246 Sq. Ft"
R330841,"1810 CORAL DR, CEDAR PARK, TX  78613","$406,862",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330841,"1,976 Sq. Ft"
R330842,"1812 CORAL DR, CEDAR PARK, TX  78613","$401,085",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330842,"1,710 Sq. Ft"
R330843,"1809 AZALEA DR, CEDAR PARK, TX  78613","$408,852",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330843,"1,868 Sq. Ft"
R330844,"1809 AZALEA DR, CEDAR PARK, TX  78613","$154,665",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330844,"1,868 Sq. Ft"
R330845,"1811 AZALEA DR, CEDAR PARK, TX  78613","$203,113",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330845,"2,624 Sq. Ft"
R330846,"2224 HEATHER DR, CEDAR PARK, TX  78613","$163,033",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330846,"1,816 Sq. Ft"
R330847,"2222 HEATHER DR, CEDAR PARK, TX  78613","$183,469",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330847,"2,212 Sq. Ft"
R330848,"2220 HEATHER DR, CEDAR PARK, TX  78613","$153,940",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330848,"1,778 Sq. Ft"
R330849,"2218 HEATHER DR, CEDAR PARK, TX  78613","$411,401",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330849,"1,968 Sq. Ft"
R330850,"2218 HEATHER DR, CEDAR PARK, TX  78613","$65,571",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330850,"1,968 Sq. Ft"
R330851,"2216 HEATHER DR, CEDAR PARK, TX  78613","$441,433",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330851,"1,825 Sq. Ft"
R330852,"2216 HEATHER DR, CEDAR PARK, TX  78613","$18,479",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330852,"1,825 Sq. Ft"
R330853,"2214 HEATHER DR, CEDAR PARK, TX  78613","$426,037",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330853,"2,069 Sq. Ft"
R330854,"2214 HEATHER DR, CEDAR PARK, TX  78613","$10,000",https://search.wcad.org/Property-Detail/PropertyQuickRefID/R330854,-
